Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8530631045601106,0.9024448783557912,0.7392325763508223,0.6020408163265306,0.6636203866432338,0.5757993217555989
Decision Tree,0.8152924919391985,0.7520580982645838,0.6132836747361887,0.6301020408163265,0.6215791129285939,0.4995194513735348
kNN,0.8406264394288346,0.8868995171374919,0.6931486880466472,0.6065051020408163,0.6469387755102041,0.5466384694395002
Naive Bayes,0.5366190695532013,0.7334477724355667,0.33597285067873306,0.9470663265306123,0.49599198396793587,0.3236651398839895
Random Forest (Ensemble),0.8596652848149854,0.9113065145168279,0.7904085257548845,0.5676020408163265,0.6607275426874536,0.5877791188215358
